epoch,lr,psnr,ssim,train_loss,val_loss
1,0.0001,27.60564835637723,0.7904240859535225,33.329737987518314,8.638751220703124
2,0.0001,28.32101283092585,0.804716445788029,32.18524850845337,8.114499282836913
3,0.0001,29.266629380493708,0.8313827044684106,30.8717142868042,7.342186450958252
4,0.0001,29.504744237451582,0.8390248305893305,30.1969868850708,7.069756031036377
5,0.0001,29.69389691404847,0.8446433879570756,29.93236349105835,6.911043930053711
6,0.0001,29.776484928300448,0.8473439990654166,28.841649799346925,6.798462200164795
7,0.0001,29.91180387012231,0.8512170898693621,29.022773895263672,6.703492832183838
8,0.0001,30.009435045340933,0.8540358776079738,29.633088817596434,6.616683483123779
9,0.0001,30.0594913333546,0.8556021708113848,29.204043312072756,6.555007076263427
10,0.0001,30.114562243405356,0.8566023088535581,28.353459644317628,6.511146450042725
11,0.0001,30.18004477277708,0.8583061114889927,28.73445484161377,6.455130863189697
12,0.0001,30.219890070386292,0.8589775173658255,28.774583015441895,6.409695720672607
13,0.0001,30.256274378783225,0.8605248601343345,28.17375774383545,6.377451992034912
14,0.0001,30.266915054385414,0.8602176862094882,29.20764274597168,6.371175098419189
15,0.0001,30.31654828298314,0.8620887301515466,28.35448271751404,6.319987487792969
16,0.0001,30.34373001566916,0.8625804320263125,28.0668745803833,6.2803147315979
17,0.0001,30.366624913332053,0.8627584094852796,28.56272644042969,6.266865539550781
18,0.0001,30.363036363678866,0.8629013086808277,28.361993980407714,6.235594177246094
19,0.0001,30.377804866592715,0.8635079997540223,28.434657201766967,6.211048603057861
20,0.0001,30.454659252910705,0.8652996706637996,27.489030055999756,6.164671230316162
21,0.0001,30.442976952748587,0.8650090095797689,27.67708671569824,6.189046096801758
22,0.0001,30.478386467106013,0.8661799499509613,27.94849864959717,6.1354289054870605
23,0.0001,30.486473130455018,0.8665346463236737,27.668678722381593,6.131109046936035
24,0.0001,30.50784479808584,0.8663692154276015,27.85037570953369,6.101239490509033
25,0.0001,30.541320114151024,0.8673021184449027,28.385089569091797,6.082947254180908
26,0.0001,30.47777520727298,0.8651820533404537,28.439549102783204,6.114448547363281
27,0.0001,30.574455268011786,0.8679229381013469,27.777502307891847,6.044124889373779
28,0.0001,30.54891370031687,0.8670919577934431,27.90524642944336,6.06496753692627
29,0.0001,30.567729886206628,0.8678719976202564,27.099010009765625,6.049960803985596
