epoch,lr,psnr,ssim,train_loss,val_loss
1,0.0001,27.60565462567082,0.7904238423077026,33.32974119186402,8.638753700256348
2,0.0001,28.343191541275292,0.805327233527305,32.18201261520386,8.100243949890137
3,0.0001,29.267483728730497,0.8311409977650508,30.85829277038574,7.354440402984619
4,0.0001,29.503433829996755,0.8391072346143302,30.19995439529419,7.073425960540772
5,0.0001,29.691493793263646,0.8446621895331038,29.93244300842285,6.910996723175049
6,0.0001,29.770351106011454,0.8472348873829677,28.845937900543213,6.799252128601074
7,0.0001,29.91113836077065,0.8511962646464092,29.02776767730713,6.705472564697265
8,0.0001,30.00989149979764,0.8540076716729992,29.635421714782716,6.617480945587158
9,0.0001,30.055276370852663,0.855510544754787,29.20555908203125,6.55622091293335
10,0.0001,30.11110801356933,0.8565170771289949,28.355308618545532,6.512266826629639
11,0.0001,30.178059000381165,0.858226669753878,28.734152431488038,6.457919597625732
12,0.0001,30.217341648579417,0.8589328241523309,28.77357919692993,6.410743236541748
13,0.0001,30.25588532493888,0.8605449084726822,28.171849460601806,6.378821086883545
14,0.0001,30.26584003858328,0.8602316620745043,29.206722774505614,6.370399856567383
15,0.0001,30.316235346179894,0.8621223996764427,28.352052869796754,6.319263744354248
16,0.0001,30.343403117118534,0.8625724932689496,28.06583360671997,6.2813318252563475
17,0.0001,30.363340599335885,0.8627113130130987,28.562120923995973,6.267419528961182
18,0.0001,30.36089346248159,0.8628171142747838,28.36060235977173,6.2377238273620605
19,0.0001,30.373338316782537,0.8634527702673171,28.43399742126465,6.213323307037354
20,0.0001,30.45110575033551,0.8652307064313123,27.486398735046386,6.166980838775634
21,0.0001,30.440082335457742,0.8649018462293236,27.676899604797363,6.191911220550537
22,0.0001,30.473203768896838,0.8661080819180296,27.94711669921875,6.138578796386719
23,0.0001,30.484104352496367,0.8664669544210446,27.667125854492188,6.133860015869141
24,0.0001,30.50565277921836,0.8662847528181132,27.848655681610108,6.1026458740234375
25,0.0001,30.537390134510805,0.8671616038383092,28.383631649017335,6.086259460449218
26,0.0001,30.476686618136757,0.8650672410307546,28.438832721710206,6.116751670837402
27,0.0001,30.57242016280174,0.8678513629113848,27.775210475921632,6.045737075805664
28,0.0001,30.546428140055923,0.8670059979818261,27.90253902435303,6.0664397239685055
29,0.0001,30.566836872827274,0.8678508534608023,27.097786502838133,6.053208541870117
30,0.0001,30.595144140771726,0.8694447971902317,27.950316305160523,6.015200614929199
31,0.0001,30.611601856993264,0.8687912604760119,27.120090579986574,6.001651287078857
32,0.0001,30.571784060519782,0.8691914510232728,27.637561779022217,6.031137084960937
33,0.0001,30.589502650997144,0.8679570977084368,27.496250553131105,6.01510066986084
34,0.0001,30.63811350932475,0.8692280207944428,28.540099105834962,5.974431800842285
35,0.0001,30.6495626231512,0.8703938137181059,27.284150104522706,5.985783195495605
36,0.0001,30.64389557844721,0.8693737761299409,27.06325372695923,5.992717170715332
37,0.0001,30.685195009425655,0.8702659583495972,27.61869213104248,5.9196477890014645
38,0.0001,30.68732820487307,0.8705956875479508,26.709213676452638,5.929529190063477
39,0.0001,30.704270985350423,0.871478598135494,28.344724130630492,5.915166282653809
